Progress_Vehicle_Position,Crosswalk_Side,Eye_X,Eye_Z,Total_Points,Blindzone_Raw_Point_Count,Blindzone_Point_Count_Filtered,Visible_Point_Count,Blindzone_Raw_Percentage,Blindzone_Filtered_Percentage,Visible_Percentage
61,left_crosswalk,-1.04941761493683,-1.10488712787628,35700,12060,11720,23640,33.78151260504202,32.82913165266106,66.21848739495798
62,left_crosswalk,-1.12079393863678,-1.34546864032745,35700,12321,11944,23379,34.51260504201681,33.45658263305322,65.48739495798318
63,left_crosswalk,-1.18081367015839,-1.59155309200287,35700,12645,12221,23055,35.42016806722689,34.23249299719888,64.57983193277312
64,left_crosswalk,-1.23048341274261,-1.84205114841461,35700,12919,12436,22781,36.187675070028014,34.83473389355743,63.812324929971986
65,left_crosswalk,-1.27080202102661,-2.09622001647949,35700,13256,12703,22444,37.13165266106442,35.58263305322129,62.86834733893557
66,left_crosswalk,-1.30268263816834,-2.35332226753235,35700,13533,12916,22167,37.90756302521008,36.17927170868347,62.09243697478991
67,left_crosswalk,-1.32695960998535,-2.61256241798401,35700,13828,13081,21872,38.733893557422974,36.641456582633054,61.266106442577026
68,left_crosswalk,-1.34442317485809,-2.87364888191223,35700,14155,13301,21545,39.64985994397759,37.25770308123249,60.350140056022404
69,left_crosswalk,-1.35576891899109,-3.13629961013794,35700,14433,13429,21267,40.42857142857143,37.61624649859944,59.57142857142858
70,left_crosswalk,-1.36161041259766,-3.40032458305359,35700,14707,13417,20993,41.19607843137255,37.582633053221286,58.80392156862745
71,left_crosswalk,-1.36349678039551,-3.66778421401978,35700,14712,13118,20988,41.21008403361345,36.745098039215684,58.78991596638655
72,left_crosswalk,-1.36504065990448,-3.93918061256409,35700,14548,12662,21152,40.75070028011204,35.46778711484594,59.24929971988796
73,left_crosswalk,-1.3663295507431,-4.21067476272583,35700,14320,12159,21380,40.11204481792717,34.05882352941176,59.88795518207283
74,left_crosswalk,-1.36735928058624,-4.48204469680786,35700,14088,11580,21612,39.46218487394958,32.436974789915965,60.53781512605042
75,left_crosswalk,-1.3681492805481,-4.75355911254883,35700,13819,10990,21881,38.70868347338936,30.784313725490197,61.29131652661064
76,left_crosswalk,-1.36871540546417,-5.0250301361084,35700,13347,10129,22353,37.38655462184874,28.372549019607845,62.613445378151255
77,left_crosswalk,-1.36907136440277,-5.29655075073242,35700,12959,9456,22741,36.299719887955185,26.487394957983195,63.700280112044815
78,left_crosswalk,-1.36923015117645,-5.56808280944824,35700,12269,8708,23430,34.36694677871148,24.3921568627451,65.63025210084034
79,left_crosswalk,-1.36920356750488,-5.8396430015564,35700,11790,8238,23909,33.02521008403361,23.07563025210084,66.97198879551821
80,left_crosswalk,-1.36900019645691,-6.11115837097168,35700,11743,8135,23956,32.89355742296919,22.787114845938376,67.10364145658264
81,left_crosswalk,-1.36863017082214,-6.38279342651367,35700,11874,8326,23825,33.260504201680675,23.322128851540615,66.73669467787114
82,left_crosswalk,-1.36810064315796,-6.65433502197266,35700,12267,8813,23432,34.36134453781513,24.686274509803923,65.6358543417367
83,left_crosswalk,-1.36741900444031,-6.92595434188843,35700,12958,9545,22741,36.296918767507,26.73669467787115,63.700280112044815
84,left_crosswalk,-1.36659169197083,-7.19759130477905,35700,13907,10459,21792,38.95518207282913,29.296918767507,61.042016806722685
85,left_crosswalk,-1.36562490463257,-7.46905136108398,35700,15016,11707,20683,42.061624649859944,32.792717086834735,57.93557422969188
86,left_crosswalk,-1.36452150344849,-7.74081373214722,35700,16328,13281,19371,45.73669467787115,37.20168067226891,54.26050420168067
87,left_crosswalk,-1.36328887939453,-8.0124626159668,35700,17904,14973,17795,50.15126050420168,41.94117647058824,49.845938375350144
88,left_crosswalk,-1.36192977428436,-8.28395652770996,35700,19629,16899,16070,54.983193277310924,47.33613445378151,45.0140056022409
89,left_crosswalk,-1.36044716835022,-8.55557727813721,35700,21729,18929,13971,60.865546218487395,53.022408963585434,39.134453781512605
90,left_crosswalk,-1.35884308815002,-8.82734107971191,35700,23629,20775,12071,66.187675070028,58.19327731092437,33.812324929971986
91,left_crosswalk,-1.35712146759033,-9.09903430938721,35700,25152,22333,10548,70.45378151260505,62.55742296918767,29.54621848739496
92,left_crosswalk,-1.35528349876404,-9.37069416046143,35700,26565,23767,9135,74.41176470588235,66.57422969187675,25.588235294117645
93,left_crosswalk,-1.35333013534546,-9.64233589172363,35700,27788,25105,7912,77.8375350140056,70.32212885154063,22.162464985994397
94,left_crosswalk,-1.35126209259033,-9.91389465332031,35700,28797,26250,6903,80.66386554621849,73.52941176470588,19.33613445378151
95,left_crosswalk,-1.34908008575439,-10.1852684020996,35700,29529,27209,6171,82.71428571428572,76.2156862745098,17.285714285714285
96,left_crosswalk,-1.34677386283875,-10.4573059082031,35700,30067,27839,5633,84.22128851540617,77.98039215686275,15.778711484593838
97,left_crosswalk,-1.34436690807343,-10.7265434265137,35700,30380,28322,5320,85.09803921568627,79.33333333333333,14.901960784313726
98,left_crosswalk,-1.34177565574646,-11.0019359588623,35700,30512,28619,5188,85.46778711484593,80.16526610644257,14.532212885154062
99,left_crosswalk,-1.33910465240479,-11.2698850631714,35700,30445,28703,5255,85.28011204481793,80.40056022408963,14.719887955182074
