Progress_Vehicle_Position,Crosswalk_Side,Eye_X,Eye_Z,Total_Points,Blindzone_Raw_Point_Count,Blindzone_Point_Count_Filtered,Visible_Point_Count,Blindzone_Raw_Percentage,Blindzone_Filtered_Percentage,Visible_Percentage
57,left_crosswalk,-0.63159763813019,-0.22375060617924,18900,7999,7959,10901,42.32275132275132,42.11111111111111,57.677248677248684
58,left_crosswalk,-0.75754600763321,-0.42915672063828,18900,8203,8168,10697,43.402116402116405,43.216931216931215,56.5978835978836
59,left_crosswalk,-0.86871218681335,-0.64544981718063,18900,8540,8499,10360,45.18518518518518,44.96825396825397,54.81481481481482
60,left_crosswalk,-0.96570295095444,-0.8711017370224,18900,8945,8881,9955,47.32804232804233,46.989417989417994,52.67195767195767
61,left_crosswalk,-1.04941761493683,-1.10488712787628,18900,9378,9308,9522,49.61904761904762,49.24867724867725,50.38095238095238
62,left_crosswalk,-1.12079393863678,-1.34546864032745,18900,9761,9676,9139,51.64550264550265,51.195767195767196,48.354497354497354
63,left_crosswalk,-1.18081367015839,-1.59155309200287,18900,10197,10101,8703,53.95238095238095,53.44444444444445,46.04761904761905
64,left_crosswalk,-1.23048341274261,-1.84205114841461,18900,10577,10480,8323,55.96296296296296,55.44973544973545,44.03703703703704
65,left_crosswalk,-1.27080202102661,-2.09622001647949,18900,11012,10901,7888,58.264550264550266,57.677248677248684,41.735449735449734
66,left_crosswalk,-1.30268263816834,-2.35332226753235,18900,11390,11287,7510,60.264550264550266,59.719576719576715,39.735449735449734
67,left_crosswalk,-1.32695960998535,-2.61256241798401,18900,11789,11654,7111,62.37566137566137,61.66137566137566,37.62433862433863
68,left_crosswalk,-1.34442317485809,-2.87364888191223,18900,12189,12051,6711,64.4920634920635,63.761904761904766,35.50793650793651
69,left_crosswalk,-1.35576891899109,-3.13629961013794,18900,12522,12334,6378,66.25396825396825,65.25925925925927,33.74603174603175
70,left_crosswalk,-1.36161041259766,-3.40032458305359,18900,12813,12537,6087,67.7936507936508,66.33333333333333,32.2063492063492
71,left_crosswalk,-1.36349678039551,-3.66778421401978,18900,12833,12392,6067,67.8994708994709,65.56613756613756,32.1005291005291
72,left_crosswalk,-1.36504065990448,-3.93918061256409,18900,12750,12189,6150,67.46031746031747,64.4920634920635,32.53968253968254
73,left_crosswalk,-1.3663295507431,-4.21067476272583,18900,12567,11914,6333,66.4920634920635,63.03703703703704,33.507936507936506
74,left_crosswalk,-1.36735928058624,-4.48204469680786,18900,12271,11520,6629,64.92592592592594,60.952380952380956,35.074074074074076
75,left_crosswalk,-1.3681492805481,-4.75355911254883,18900,11847,11046,7053,62.682539682539684,58.44444444444444,37.317460317460316
76,left_crosswalk,-1.36871540546417,-5.0250301361084,18900,11201,10365,7699,59.264550264550266,54.84126984126985,40.735449735449734
77,left_crosswalk,-1.36907136440277,-5.29655075073242,18900,10666,9827,8234,56.43386243386244,51.99470899470899,43.56613756613756
78,left_crosswalk,-1.36923015117645,-5.56808280944824,18900,10046,9197,8854,53.15343915343915,48.66137566137566,46.84656084656085
79,left_crosswalk,-1.36920356750488,-5.8396430015564,18900,9603,8774,9297,50.8095238095238,46.423280423280424,49.19047619047619
