point_id,local_x,local_y,local_z,global_x,global_y,global_z
109,0.18817444145679,-0.00003820331767,-1.03001964092255,0.18817444145679,0.09996179491282,-1.03001964092255
110,0.0875610485673,-0.00003889203072,-0.97210139036179,0.0875610485673,0.0999611094594,-0.97210139036179
111,-0.00996994227171,-0.0000394997187,-0.91170585155487,-0.00996994227171,0.09996049851179,-0.91170585155487
112,-0.10445004701614,-0.00004002638161,-0.84882378578186,-0.10445004701614,0.09995997697115,-0.84882378578186
113,-0.1959111392498,-0.00004047201946,-0.78344631195068,-0.1959111392498,0.09995952993631,-0.78344631195068
114,-0.28438496589661,-0.00004083663225,-0.71556389331818,-0.28438496589661,0.09995916485786,-0.71556389331818
115,-0.36990335583687,-0.00004112021998,-0.64516735076904,-0.36990335583687,0.0999588817358,-0.64516735076904
116,-0.45249804854393,-0.00004132278264,-0.57224750518799,-0.45249804854393,0.09995868057013,-0.57224750518799
117,-0.53220093250275,-0.00004144432023,-0.49679499864578,-0.53220093250275,0.09995855391026,-0.49679499864578
118,-0.6090435385704,-0.00004148483276,-0.4188007414341,-0.6090435385704,0.09995851665735,-0.4188007414341
119,-0.68305784463882,-0.00004144432023,-0.33825543522835,-0.68305784463882,0.09995855391026,-0.33825543522835
120,-0.75427556037903,-0.00004132278264,-0.25514966249466,-0.75427556037903,0.09995868057013,-0.25514966249466
121,-0.82272839546204,-0.00004112021998,-0.16947442293167,-0.82272839546204,0.0999588817358,-0.16947442293167
122,-0.8884482383728,-0.00004083663225,-0.08122032880783,-0.8884482383728,0.09995916485786,-0.08122032880783
123,-0.9514667391777,-0.00004047201946,0.00962179899216,-0.9514667391777,0.09995952993631,0.00962179899216
124,-1.01181578636169,-0.00004002638161,0.10306119918823,-1.01181578636169,0.09995997697115,0.10306119918823
125,-1.06952714920044,-0.0000394997187,0.19910717010498,-1.06952714920044,0.09996049851179,0.19910717010498
126,-1.12463235855103,-0.00003889203072,0.2977688908577,-1.12463235855103,0.0999611094594,0.2977688908577
